178
13 1
   3    4    3    3    3    3    3    3    3    3    3    3    4    3 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
0.000000 0.000000 1.000000 	0.311489 0.688511 0.000000 0.000000 	0.000000 0.674254 0.325746 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.396682 0.603318 	0.000000 0.023593 0.976407 	0.833602 0.166397 0.000000 	0.000000 0.244432 0.755568 	0.000000 0.949856 0.050144 	0.000000 0.729861 0.270139 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.839028 0.160972 	1.000000 0.000000 0.000000 	
0.000000 0.691491 0.308509 	0.000000 0.960618 0.039382 0.000000 	0.000000 0.000000 1.000000 	0.746107 0.253893 0.000000 	0.048551 0.951449 0.000000 	0.000000 0.079585 0.920415 	0.000000 0.000000 1.000000 	0.625202 0.374798 0.000000 	0.000000 0.991966 0.008034 	0.000000 0.848271 0.151729 	0.000000 0.612014 0.387986 	0.000000 0.800192 0.199808 	0.000000 0.000000 0.210291 0.789709 	1.000000 0.000000 0.000000 	
0.000000 0.203390 0.796610 	0.744596 0.255404 0.000000 0.000000 	0.000000 0.475974 0.524026 	0.770396 0.229604 0.000000 	0.000000 0.765791 0.234209 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.541072 0.458928 	0.000000 0.622526 0.377474 	0.267532 0.732468 0.000000 	0.000000 0.754027 0.245973 	0.000000 0.000000 0.164285 0.835715 	1.000000 0.000000 0.000000 	
0.695276 0.304724 0.000000 	1.000000 0.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.936570 0.063430 0.000000 	0.566508 0.433492 0.000000 	1.000000 0.000000 0.000000 	0.833602 0.166397 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.690579 0.309421 	0.876317 0.123683 0.000000 	0.720942 0.279058 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.738180 0.261820 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.092453 0.907547 0.000000 	0.940422 0.059578 0.000000 	0.111981 0.888019 0.000000 	0.476274 0.523726 0.000000 	0.791464 0.208536 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.880258 0.119742 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.059026 0.940974 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.405673 0.594327 0.000000 	0.852873 0.147127 0.000000 0.000000 	0.779245 0.220755 0.000000 	0.746107 0.253893 0.000000 	0.175411 0.824589 0.000000 	0.514945 0.485055 0.000000 	0.523429 0.476570 0.000000 	0.000000 0.139535 0.860465 	1.000000 0.000000 0.000000 	0.000000 0.918816 0.081184 	0.000000 0.965553 0.034447 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.000000 0.260146 0.739854 	1.000000 0.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.454634 0.545366 0.000000 	0.555991 0.444009 0.000000 	0.411821 0.588179 0.000000 	0.205138 0.794862 0.000000 	0.555735 0.444265 0.000000 	1.000000 0.000000 0.000000 	0.667451 0.332549 0.000000 	0.000000 0.000000 1.000000 	0.246267 0.753733 0.000000 	0.265875 0.734125 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.695276 0.304724 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.409434 0.590566 0.000000 	0.211740 0.788260 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.742788 0.257212 	0.406461 0.593539 0.000000 	0.000000 0.022784 0.977216 	0.000000 0.754027 0.245973 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.909796 0.090204 0.000000 	0.713660 0.286340 0.000000 0.000000 	0.000000 0.390997 0.609003 	0.211740 0.788260 0.000000 	0.000000 0.944762 0.055238 	0.682523 0.317477 0.000000 	0.238642 0.761358 0.000000 	0.000000 0.669052 0.330948 	0.890868 0.109132 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.472691 0.527309 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.695276 0.304724 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 0.306019 0.693981 	0.430345 0.569655 0.000000 	0.302271 0.697729 0.000000 	0.000000 0.999165 0.000835 	0.000000 0.414121 0.585879 	0.208401 0.791599 0.000000 	0.000000 0.493610 0.506390 	0.346232 0.653768 0.000000 	0.000000 0.140630 0.859370 	0.403780 0.596220 0.000000 	0.067300 0.932700 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.000000 0.895813 0.104187 	1.000000 0.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.111295 0.888705 	0.000000 0.000000 1.000000 	0.972536 0.027464 0.000000 	0.000000 0.256297 0.743703 	0.065166 0.934834 0.000000 	0.000000 0.415604 0.584396 	0.000000 0.276989 0.723011 	0.795408 0.204592 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.695276 0.304724 0.000000 	1.000000 0.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.066004 0.933996 0.000000 	1.000000 0.000000 0.000000 	0.398930 0.601070 0.000000 	0.029240 0.970760 0.000000 	0.903069 0.096931 0.000000 	0.876574 0.123426 0.000000 	0.314110 0.685889 0.000000 	0.000000 0.415604 0.584396 	0.000000 0.000000 1.000000 	0.762312 0.237688 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.000000 0.634735 0.365265 	1.000000 0.000000 0.000000 0.000000 	0.000000 0.872535 0.127465 	0.697528 0.302472 0.000000 	0.000000 0.676305 0.323695 	0.000000 0.824762 0.175238 	0.615566 0.384433 0.000000 	0.000000 0.007155 0.992845 	1.000000 0.000000 0.000000 	0.920410 0.079590 0.000000 	0.000000 0.808425 0.191575 	0.768027 0.231973 0.000000 	0.000000 0.824878 0.175122 0.000000 	0.000000 1.000000 0.000000 	
0.866892 0.133108 0.000000 	1.000000 0.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.746107 0.253893 0.000000 	0.000000 0.000000 1.000000 	0.734085 0.265915 0.000000 	0.632319 0.367681 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.446261 0.553739 	0.000000 0.925429 0.074571 0.000000 	0.000000 1.000000 0.000000 	
0.781084 0.218916 0.000000 	0.466170 0.533830 0.000000 0.000000 	0.277359 0.722641 0.000000 	0.000000 0.884654 0.115346 	0.000000 0.989505 0.010495 	1.000000 0.000000 0.000000 	0.850097 0.149903 0.000000 	0.208401 0.791599 0.000000 	0.276209 0.723791 0.000000 	0.968593 0.031407 0.000000 	0.214836 0.785164 0.000000 	0.876317 0.123683 0.000000 	0.000000 0.447812 0.552188 0.000000 	0.000000 1.000000 0.000000 	
0.000000 0.044474 0.955526 	0.620852 0.379149 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.158859 0.841141 	0.000000 0.214094 0.785906 	1.000000 0.000000 0.000000 	0.000000 0.742788 0.257212 	0.836090 0.163910 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.307766 0.692234 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.000000 0.464468 0.535532 	0.388830 0.611170 0.000000 0.000000 	0.198113 0.801887 0.000000 	0.000000 0.098589 0.901411 	1.000000 0.000000 0.000000 	0.695414 0.304586 0.000000 	0.163258 0.836742 0.000000 	0.903069 0.096931 0.000000 	0.890868 0.109132 0.000000 	0.691542 0.308458 0.000000 	0.000000 0.965553 0.034447 	0.000000 0.892522 0.107478 	0.919517 0.080483 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.030263 0.969737 0.000000 	0.373362 0.626638 0.000000 0.000000 	0.000000 0.192716 0.807284 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.185519 0.814481 	1.000000 0.000000 0.000000 	0.000000 0.635997 0.364003 	0.848136 0.151864 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.086458 0.913542 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.039623 0.960377 0.000000 	0.000000 0.753643 0.246357 	0.111981 0.888019 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.899900 0.100100 	1.000000 0.000000 0.000000 	0.004616 0.995384 0.000000 	0.904349 0.095651 0.000000 	0.000000 0.926271 0.073729 	0.000000 0.353931 0.646069 	0.000000 0.397537 0.602463 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.048531 0.951469 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.940422 0.059578 0.000000 	0.365701 0.634299 0.000000 	1.000000 0.000000 0.000000 	0.389412 0.610588 0.000000 	0.416801 0.583199 0.000000 	0.719335 0.280665 0.000000 	0.667451 0.332549 0.000000 	0.000000 0.000000 1.000000 	0.561292 0.438708 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.000000 0.986622 0.013378 	1.000000 0.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.940422 0.059578 0.000000 	1.000000 0.000000 0.000000 	0.605179 0.394821 0.000000 	0.004112 0.995888 0.000000 	1.000000 0.000000 0.000000 	0.276209 0.723791 0.000000 	0.346232 0.653768 0.000000 	0.000000 0.140630 0.859370 	0.226578 0.773422 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.342598 0.657402 0.000000 	0.224528 0.775472 0.000000 	0.454634 0.545366 0.000000 	0.000000 0.586819 0.413181 	0.901663 0.098337 0.000000 	0.598814 0.401186 0.000000 	0.000000 0.801431 0.198569 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.036988 0.963012 0.000000 	0.187200 0.812800 0.000000 	0.803682 0.196318 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.738180 0.261820 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.964151 0.035849 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.669633 0.330367 0.000000 	0.154881 0.845119 0.000000 	0.347334 0.652666 0.000000 	0.000000 0.000000 1.000000 	0.828060 0.171940 0.000000 	0.000000 0.651297 0.348703 	0.393935 0.606065 0.000000 	0.000000 0.824878 0.175122 0.000000 	0.000000 1.000000 0.000000 	
0.341317 0.658683 0.000000 	0.000000 0.000000 0.651367 0.348632 	0.000000 0.759231 0.240769 	0.000000 0.316940 0.683060 	0.111981 0.888019 0.000000 	0.000000 0.349117 0.650883 	0.000000 0.509372 0.490628 	0.000000 0.801431 0.198569 	0.000000 0.647863 0.352137 	1.000000 0.000000 0.000000 	0.000000 0.140630 0.859370 	0.000000 0.353931 0.646069 	0.956750 0.043250 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.832076 0.167924 0.000000 	0.211740 0.788260 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.999165 0.000835 	0.000000 0.785599 0.214401 	0.694669 0.305331 0.000000 	0.319092 0.680908 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.369320 0.630681 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.319865 0.680135 0.000000 	0.156808 0.843192 0.000000 0.000000 	0.303774 0.696226 0.000000 	0.260319 0.739681 0.000000 	1.000000 0.000000 0.000000 	0.282915 0.717085 0.000000 	0.000000 0.528422 0.471578 	0.972536 0.027464 0.000000 	0.000000 0.861444 0.138556 	0.627298 0.372702 0.000000 	0.000000 0.258476 0.741524 	0.000000 0.338543 0.661457 	0.000000 0.937997 0.062003 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 0.447648 0.552352 	0.000000 0.098589 0.901411 	1.000000 0.000000 0.000000 	0.540727 0.459273 0.000000 	0.381036 0.618964 0.000000 	0.000000 1.000000 0.000000 	0.361976 0.638024 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.984852 0.015148 	0.265875 0.734125 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.000000 0.963919 0.036081 	0.000000 0.000000 0.658785 0.341215 	0.000000 0.985837 0.014163 	0.000000 0.426116 0.573884 	1.000000 0.000000 0.000000 	0.991897 0.008103 0.000000 	0.372660 0.627340 0.000000 	0.000000 0.000000 1.000000 	0.047499 0.952501 0.000000 	0.265928 0.734072 0.000000 	0.432205 0.567795 0.000000 	0.689271 0.310729 0.000000 	0.741627 0.258373 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 0.249368 0.750632 	0.454634 0.545366 0.000000 	0.555991 0.444009 0.000000 	0.282915 0.717085 0.000000 	0.000000 0.833224 0.166776 	1.000000 0.000000 0.000000 	0.000000 0.173238 0.826762 	0.968593 0.031407 0.000000 	0.596879 0.403121 0.000000 	0.000000 0.430873 0.569127 	0.720942 0.279058 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.373495 0.626505 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.198113 0.801887 0.000000 	0.454634 0.545366 0.000000 	0.238841 0.761159 0.000000 	0.282915 0.717085 0.000000 	0.079497 0.920503 0.000000 	0.694669 0.305331 0.000000 	0.276209 0.723791 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.307766 0.692234 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.920522 0.079478 0.000000 	0.466170 0.533830 0.000000 0.000000 	0.013208 0.986792 0.000000 	0.000000 0.360611 0.639389 	0.809710 0.190290 0.000000 	0.824320 0.175680 0.000000 	0.288899 0.711101 0.000000 	0.000000 0.801431 0.198569 	0.133265 0.866735 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.443158 0.556842 0.000000 	0.824367 0.175633 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.373362 0.626638 0.000000 0.000000 	0.000000 0.136065 0.863935 	0.000000 0.000000 1.000000 	0.936570 0.063430 0.000000 	0.643851 0.356149 0.000000 	0.355908 0.644092 0.000000 	0.000000 1.000000 0.000000 	0.447742 0.552258 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.230824 0.769176 	0.547189 0.452811 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.900160 0.099840 0.000000 	0.000000 0.589277 0.410723 	0.000000 0.622632 0.377368 	1.000000 0.000000 0.000000 	0.605179 0.394821 0.000000 	0.288899 0.711101 0.000000 	0.000000 0.470483 0.529517 	0.433447 0.566553 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.886989 0.113011 	0.000000 0.938687 0.061313 	0.059026 0.940974 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.899277 0.100723 0.000000 0.000000 	0.039623 0.960377 0.000000 	0.000000 0.185929 0.814071 	1.000000 0.000000 0.000000 	0.282915 0.717085 0.000000 	0.372660 0.627340 0.000000 	0.000000 0.867621 0.132379 	0.390564 0.609436 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.612014 0.387986 	0.000000 0.230824 0.769176 	0.286560 0.713440 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.125872 0.874128 0.000000 0.000000 	0.000000 0.985837 0.014163 	0.333187 0.666813 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.448045 0.551955 0.000000 	0.000000 0.205725 0.794275 	0.018910 0.981090 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.572732 0.427268 	0.433313 0.566687 0.000000 	0.886421 0.113579 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.620852 0.379149 0.000000 0.000000 	0.000000 0.702580 0.297420 	0.000000 0.535292 0.464708 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.657447 0.342553 0.000000 	0.000000 0.338104 0.661896 	0.033205 0.966795 0.000000 	0.747755 0.252245 0.000000 	0.000000 0.690579 0.309421 	0.059221 0.940779 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.352043 0.647957 0.000000 	0.589915 0.410085 0.000000 0.000000 	0.145283 0.854717 0.000000 	0.000000 0.819148 0.180852 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.481549 0.518451 0.000000 	0.000000 0.000000 1.000000 	0.047499 0.952501 0.000000 	0.968593 0.031407 0.000000 	0.036988 0.963012 0.000000 	0.640048 0.359952 0.000000 	0.824367 0.175633 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.781084 0.218916 0.000000 	0.000000 0.382904 0.617096 0.000000 	0.250944 0.749056 0.000000 	0.454634 0.545366 0.000000 	0.936570 0.063430 0.000000 	0.000000 0.951601 0.048399 	0.000000 0.795124 0.204876 	1.000000 0.000000 0.000000 	0.000000 0.600400 0.399600 	1.000000 0.000000 0.000000 	0.000000 0.297758 0.702242 	0.000000 0.092330 0.907670 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.947183 0.052817 0.000000 	0.092453 0.907547 0.000000 	0.454634 0.545366 0.000000 	0.302271 0.697729 0.000000 	0.000000 0.047875 0.952125 	0.000000 0.785599 0.214401 	1.000000 0.000000 0.000000 	0.433447 0.566553 0.000000 	0.888288 0.111711 0.000000 	0.000000 0.258476 0.741524 	0.000000 0.615532 0.384468 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.588015 0.411985 0.000000 	0.605383 0.394617 0.000000 0.000000 	0.303774 0.696226 0.000000 	0.211740 0.788260 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.872327 0.127673 	0.000000 0.776074 0.223926 	0.555735 0.444265 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.258476 0.741524 	0.078910 0.921090 0.000000 	0.000000 0.237284 0.762716 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.859854 0.140146 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.644467 0.355533 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.875225 0.124775 0.000000 	1.000000 0.000000 0.000000 	0.133265 0.866735 0.000000 	1.000000 0.000000 0.000000 	0.069923 0.930077 0.000000 	0.443158 0.556842 0.000000 	0.286560 0.713440 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.781084 0.218916 0.000000 	0.775533 0.224467 0.000000 0.000000 	0.884906 0.115094 0.000000 	0.940422 0.059578 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.793053 0.206947 	0.000000 0.556997 0.443003 	0.764136 0.235864 0.000000 	0.000000 0.861444 0.138556 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.954075 0.045925 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.695276 0.304724 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.567925 0.432075 0.000000 	0.333187 0.666813 0.000000 	0.936570 0.063430 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.647863 0.352137 	0.386385 0.613616 0.000000 	0.000000 0.729861 0.270139 	0.000000 0.907911 0.092089 	0.141765 0.858235 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.781084 0.218916 0.000000 	0.000000 0.154505 0.845495 0.000000 	0.277359 0.722641 0.000000 	0.454634 0.545366 0.000000 	0.936570 0.063430 0.000000 	0.000000 0.317408 0.682592 	0.000000 0.090268 0.909732 	0.000000 0.669052 0.330948 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.815581 0.184419 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.886724 0.113276 0.000000 	1.000000 0.000000 0.000000 	0.576081 0.423919 0.000000 	0.365701 0.634299 0.000000 	0.244243 0.755757 0.000000 	0.000000 0.871325 0.128675 	0.972536 0.027464 0.000000 	0.361976 0.638024 0.000000 	0.868212 0.131788 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.615532 0.384468 	0.000000 0.950566 0.049434 0.000000 	0.000000 1.000000 0.000000 	
0.448577 0.551423 0.000000 	0.883809 0.116191 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.333187 0.666813 0.000000 	0.936570 0.063430 0.000000 	1.000000 0.000000 0.000000 	0.565310 0.434690 0.000000 	0.764136 0.235864 0.000000 	0.433447 0.566553 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.729861 0.270139 	0.000000 0.907911 0.092089 	0.547189 0.452811 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.727453 0.272547 0.000000 	0.000000 0.638173 0.361827 0.000000 	0.000000 0.589277 0.410723 	0.000000 0.753643 0.246357 	0.302271 0.697729 0.000000 	0.000000 0.777198 0.222802 	0.000000 0.928475 0.071525 	0.416801 0.583199 0.000000 	0.490625 0.509375 0.000000 	1.000000 0.000000 0.000000 	0.563944 0.436056 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.296021 0.703979 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.090293 0.909707 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.872327 0.127673 	0.330779 0.669221 0.000000 	0.208401 0.791599 0.000000 	0.333387 0.666613 0.000000 	1.000000 0.000000 0.000000 	0.102858 0.897142 0.000000 	0.265956 0.734044 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.545111 0.454889 0.000000 	0.280553 0.719447 0.000000 0.000000 	0.884906 0.115094 0.000000 	0.000000 0.862818 0.137182 	1.000000 0.000000 0.000000 	0.282915 0.717085 0.000000 	0.096249 0.903751 0.000000 	0.555735 0.444265 0.000000 	0.247620 0.752380 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.729861 0.270139 	0.000000 0.000000 1.000000 	0.092122 0.907878 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.641645 0.358355 0.000000 	0.000000 0.570997 0.429003 0.000000 	0.118868 0.881132 0.000000 	0.000000 0.535292 0.464708 	0.809710 0.190290 0.000000 	0.953225 0.046774 0.000000 	0.163258 0.836742 0.000000 	0.000000 0.000000 1.000000 	0.333387 0.666613 0.000000 	1.000000 0.000000 0.000000 	0.366336 0.633664 0.000000 	0.000000 0.092330 0.907670 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.823988 0.176012 0.000000 	0.280553 0.719447 0.000000 0.000000 	0.515095 0.484905 0.000000 	0.211740 0.788260 0.000000 	1.000000 0.000000 0.000000 	0.991897 0.008103 0.000000 	0.004112 0.995888 0.000000 	0.208401 0.791599 0.000000 	0.033205 0.966795 0.000000 	0.828060 0.171940 0.000000 	0.000000 0.886989 0.113011 	0.000000 0.292378 0.707622 	0.762312 0.237688 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.319865 0.680135 0.000000 	0.249617 0.750383 0.000000 0.000000 	0.092453 0.907547 0.000000 	0.000000 0.426116 0.573884 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.230266 0.769734 0.000000 	0.000000 0.470483 0.529517 	0.033205 0.966795 0.000000 	0.868212 0.131788 0.000000 	0.300466 0.699534 0.000000 	0.285645 0.714355 0.000000 	0.853325 0.146675 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.856166 0.143834 0.000000 	0.961150 0.038850 0.000000 0.000000 	0.990566 0.009434 0.000000 	0.211740 0.788260 0.000000 	0.682850 0.317150 0.000000 	0.076665 0.923335 0.000000 	0.000000 0.995151 0.004849 	0.069467 0.930533 0.000000 	0.000000 0.493610 0.506390 	1.000000 0.000000 0.000000 	0.366336 0.633664 0.000000 	0.000000 0.523202 0.476798 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.868341 0.131659 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.971994 0.028006 	0.555991 0.444009 0.000000 	0.000000 0.491811 0.508189 	0.000000 0.156944 0.843056 	0.764136 0.235864 0.000000 	0.000000 0.007119 0.992881 	1.000000 0.000000 0.000000 	0.036988 0.963012 0.000000 	0.000000 0.153883 0.846117 	0.059026 0.940974 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.000000 0.747798 0.252202 	1.000000 0.000000 0.000000 	0.090293 0.909707 0.000000 	0.000000 0.810534 0.189466 	0.000000 0.000000 1.000000 	0.000000 0.480797 0.519203 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.728618 0.271382 0.000000 	0.000000 0.846357 0.153643 	0.547189 0.452811 0.000000 0.000000 	0.000000 1.000000 0.000000 	
0.534385 0.465615 0.000000 	0.000000 0.651608 0.348392 0.000000 	0.383019 0.616981 0.000000 	0.000000 0.753643 0.246357 	0.936570 0.063430 0.000000 	0.000000 0.793053 0.206947 	0.000000 0.776074 0.223926 	0.972536 0.027464 0.000000 	0.619275 0.380725 0.000000 	1.000000 0.000000 0.000000 	0.234597 0.765403 0.000000 	0.000000 0.892522 0.107478 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.483668 0.516332 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.971994 0.028006 	0.000000 0.989505 0.010495 	0.862991 0.137009 0.000000 	0.004112 0.995888 0.000000 	0.000000 0.000000 1.000000 	0.862279 0.137721 0.000000 	0.667451 0.332549 0.000000 	0.000000 0.000000 1.000000 	0.206889 0.793111 0.000000 	0.361025 0.638975 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 0.475974 0.524026 	0.000000 0.753643 0.246357 	0.936570 0.063430 0.000000 	0.000000 0.904037 0.095963 	0.020864 0.979136 0.000000 	0.000000 0.867621 0.132379 	0.304798 0.695202 0.000000 	0.956547 0.043453 0.000000 	0.000000 0.494168 0.505832 	0.393935 0.606065 0.000000 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
1.000000 0.000000 0.000000 	0.806469 0.193531 0.000000 0.000000 	0.000000 0.475974 0.524026 	0.000000 0.426116 0.573884 	1.000000 0.000000 0.000000 	0.000000 0.777198 0.222802 	0.000000 0.757024 0.242976 	0.000000 0.801431 0.198569 	0.876574 0.123426 0.000000 	1.000000 0.000000 0.000000 	0.135793 0.864208 0.000000 	0.000000 0.261601 0.738399 	1.000000 0.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 	
